date,returns,dbc,hyg,ief,spy,united-states-ig-oas-all-sector,united-states-hy-oas-all-sector,united-states-cmt10y
2019-01-24,0.00119843,0.002589,0.00106946,0.00317598,0.00053135,1.23891954966889,2.9001136222056902,2.71999999999999
2019-01-25,0.00109185,0.00515797,0.00249096,-0.0023088,0.0084258,1.2163029080606,2.79934864046951,2.76
2019-01-28,-0.0003547,-0.0135968,-0.0015413,0.00028889,-0.0076293,1.22038904938138,2.88774754254808,2.75
2019-01-29,0.00041013,0.00973086,-0.0005934,0.00288434,-0.0013278,1.20611038872389,2.8783352056305898,2.71999999999999
2019-01-30,0.00059914,0.00707626,0.00792294,0.0023015,0.01570683,1.19542741323306,2.86652277569898,2.7
2019-01-31,0.00276656,-0.0051414,0.00247044,0.00458716,0.00874408,1.17070613592955,2.83141305891932,2.63
2019-02-01,0.00045676,0.00898018,-0.0004713,-0.0053507,0.00048149,1.17394643385627,2.77258776182323,2.7
2019-02-04,0.0008355,0.00063837,0.00235905,-0.0022119,0.00701084,1.1613336912391,2.7519586361273296,2.73
2019-02-05,0.00232981,-0.0044771,0.00352817,0.00173144,0.00418303,1.14380519862797,2.71210237509252,2.71
2019-02-06,0.00033963,0.00128123,-0.0009396,0.00076857,-0.0013191,1.14477039423149,2.7125234780751204,2.7
2019-02-07,-0.0006688,-0.0096495,-0.0034136,0.00325983,-0.0095786,1.1701214809968399,2.82533408380143,2.65
2019-02-08,-0.0002208,0.00129199,-0.0002358,0.0013392,0.00122084,1.17332377231199,2.8349528624955798,2.63
2019-02-11,-0.0003644,-0.0058271,0.00047164,-0.0015307,0.00055444,1.17402316195032,2.8021981873365798,2.65
2019-02-12,0.00101257,0.00582715,0.00482155,-0.0013413,0.01277738,1.1605548799718601,2.7271326660469,2.68
2019-02-13,0.00111932,0.00579339,-0.0014088,-0.0024957,0.00324173,1.1537120923731599,2.72854337761784,2.71
2019-02-14,0.00013184,0.0025641,0.00011747,0.00469822,-0.0022207,1.16311588086364,2.7778575476593397,2.66
2019-02-15,0.00128949,0.0183957,0.0031666,-0.000957,0.01083835,1.1526272589194901,2.71288454405013,2.66
2019-02-19,0.00104675,0.00251099,0.00035123,0.00172199,0.00172904,1.1691934979351,2.7687717993167897,2.65
2019-02-20,0.00026325,0.00312989,0.00081905,-0.0001912,0.00201345,1.1733563769370199,2.71093375954216,2.65
2019-02-21,0.00025336,0.00312013,-0.0009361,-0.0029681,-0.0035622,1.18301670808968,2.70198273395901,2.69
2019-02-22,0.00118281,0.00248911,0.00198819,0.00296807,0.00618084,1.17514198183533,2.72499627286801,2.65
2019-02-25,0.00115748,-0.0150285,0.00081752,-0.0015308,0.0013604,1.1762826716266601,2.69472895563067,2.67
2019-02-26,0.00161278,0.00440668,0.00128332,0.00296381,-0.0007158,1.17493388953302,2.6816813002376803,2.64
2019-02-27,-0.0003949,0.00501254,0.00034971,-0.0035385,-0.0004297,1.16693791811471,2.63451094416914,2.69
2019-02-28,1.27e-05,-0.0025031,-0.0005829,-0.0025901,-0.0018642,1.14711171508008,2.61295228757151,2.73
2019-03-01,-0.000361,-0.0113423,0.0028253,-0.0032784,0.00622431,1.1482570062776,2.55660401606133,2.76
2019-03-04,0.00041459,0.00316356,-0.0015197,0.00308493,-0.003644,1.1439701966256701,2.6117317035988403,2.71999999999999
2019-03-05,3.25e-05,0.00504097,-0.0004681,0.00057737,-0.001361,1.13886870590776,2.6125161024445203,2.71999999999999
2019-03-06,-0.0002278,-0.0056729,-0.0016399,0.00278592,-0.0060753,1.14133989658328,2.6641433862279,2.69
